BoM_Item_ID,Parent_Model_ID,Hausa_Model_Name,Component_Name,Quantity,Unit_of_Measure,Category_Key,SubCategory_Key,Quality_Key,Story,2D Symbol,3D Axonometry,Height (Z Size),Length (A),Width (B),Related Zone Number,Building Materials (All),2D_Symbol_URL,3D_Axonometry_URL,Imported_To_Project
CHA-100,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Ground,,,460,12200,2441,U2 X2 R,Steel - Structural; Steel - Stainless,,,
CHA-101,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,460,12200,2441,U2 X2 L,Steel - Structural; Steel - Stainless,,,
CHA-117,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Ground,,,460,12200,2441,U2 X2 L,Steel - Structural; Steel - Stainless,,,
CHA-118,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,Ground,,,460,12200,2441,U2 X2 R,Steel - Structural; Steel - Stainless,,,
CHA-119,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Full Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,460,12200,2441,U2 X2 L,Steel - Structural; Steel - Stainless,,,
CHA-139,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,458,12200,2441,U2 X2 R,Steel - Structural; Steel - Stainless,,,
CHA-142,HAU-001,U2 X2,3-3 - CHASSIS - FLOOR - 40 x 8 x 9 - Quarter Grid - Studs,1,unit,CHASSIS,CHASSIS_FLOOR,STANDARD_FIXED,First,,,458,12200,2441,U2 X2 R,Steel - Structural; Steel - Stainless,,,
CHA-153,HAU-001,U2 X2,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X2 L,,,,
CHA-154,HAU-001,U2 X2,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X2 R,,,,
CHA-163,HAU-001,U2 X2,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X2 L,,,,
CHA-164,HAU-001,U2 X2,3-3 - CHASSIS - FOOTING - 1X,12,unit,CHASSIS,CHASSIS_FOOTING,STANDARD_FIXED,Foundation,,,509,554,554,U2 X2 R,,,,
CHA-175,HAU-001,U2 X2,3-3 - CHASSIS - FOUNDATIONS - 40 x 8 x 9 - Grid - Studs,1,unit,CHASSIS,CHASSIS_FOUNDATION,STANDARD_FIXED,Foundation,,,302,12200,2441,U2 X2 L,Steel; Steel - Structural; Steel - Stainless,,,
CHA-176,HAU-001,U2 X2,3-3 - CHASSIS - FOUNDATIONS - 40 x 8 x 9 - Grid - Studs,1,unit,CHASSIS,CHASSIS_FOUNDATION,STANDARD_FIXED,Foundation,,,302,12200,2441,U2 X2 R,Steel; Steel - Structural; Steel - Stainless,,,
