Categories_Subcategories,Category,BOM Chassis,Filtered_SubCategories,BoM_SIPS,Filtered_SubCategories,BoM_Kitchen,Filtered_SubCategories,BoM_Bathroom,Filtered_SubCategories,BoM_Doors,Filtered_SubCategories,BoM_Windows,Filtered_SubCategories,BoM_Finishes,Filtered_SubCategories,BoM_MEP,Filtered_SubCategories
1,APPLIANCES,CHASSIS,COLUMNS,SIP_PANELS,CEILING,KITCHEN_FIXTURES,CABINET_COOKTOP_OVEN,BATHROOM_FIXTURES,ACCESSORIES,DOORS,DOOR_FRAMES_TRIM,WINDOWS,BLINDS_SHADES,ENVELOPE,PAINTING,MEP,PLUMBING_SANITARY_SYSTEM
2,BATHROOM_FIXTURES,,COLUMNS,,CEILING,,CABINET_COOKTOP_OVEN,,ACCESSORIES,,DOOR_FRAMES_TRIM,,BLINDS_SHADES,,PAINTING,,PLUMBING_SANITARY_SYSTEM
3,CHASSIS,,CONNECTORS,,EXTERIOR_WALL_SIPs,,DISHWASHER,,BASIN,,DOOR_HARDWARE,,INSECT_SCREENS,,DRYWALL_GYPSUM_BOARD,,CABLING
4,CLOSET_STORAGE,,CONNECTORS,,EXTERIOR_WALL_SIPs,,DISHWASHER,,BASIN,,DOOR_HARDWARE,,INSECT_SCREENS,,DRYWALL_GYPSUM_BOARD,,CABLING
5,DOMOTICS,,FOUNDATIONS,,FLOOR_SIP,,FAUCET,,BATHROOM_FLOORING,,EXTERIOR_DOOR,,WINDOW,,EXTERIOR_PLASTER_EIFS,,LIGHTING
6,DOORS,,FOUNDATIONS,,FLOOR_SIP,,FAUCET,,BATHROOM_FLOORING,,EXTERIOR_DOOR,,WINDOW,,EXTERIOR_PLASTER_EIFS,,LIGHTING
7,ENVELOPE,,CHASSIS_BEAM,,INTERIOR_WALL_SIPs,,REFRIGERATOR,,BATHROOM_FURNITURE,,EXTERIOR_DOOR_HINGED,,WINDOW_ALUMINUM,,GUTTERS_DOWNSPOUTS,,ALTERNATIVE_ENERGY_GENERATORS
8,FLOORS,,CHASSIS_BEAM,,INTERIOR_WALL_SIPs,,REFRIGERATOR,,BATHROOM_FURNITURE,,EXTERIOR_DOOR_HINGED,,WINDOW_ALUMINUM,,GUTTERS_DOWNSPOUTS,,ALTERNATIVE_ENERGY_GENERATORS
9,HVAC_SYSTEM,,CHASSIS_CEILING,,CEILING_PANEL,,SINK,,BATHTUB,,EXTERIOR_DOOR_SLIDING,,WINDOW_GLASS,,PAINTING_EXTERIOR,,SOLAR_SYSTEMS
10,KITCHEN_FIXTURES,,CHASSIS_CEILING,,CEILING_PANEL,,SINK,,BATHTUB,,EXTERIOR_DOOR_SLIDING,,WINDOW_GLASS,,PAINTING_EXTERIOR,,SOLAR_SYSTEMS
11,KITCHEN_FURNITURE,,CHASSIS_COLUMN,,DOOR_PANEL_UNIT,,BASE_CABINET,,BIDET,,GARAGE_DOOR,,WINDOW_HARDWARE,,PAINTING_INTERIOR,,AIR_CONDITIONING
12,MEP,,CHASSIS_COLUMN,,DOOR_PANEL_UNIT,,BASE_CABINET,,BIDET,,GARAGE_DOOR,,WINDOW_HARDWARE,,PAINTING_INTERIOR,,AIR_CONDITIONING
13,MISCELLANEOUS,,CHASSIS_CONNECTOR,,FLOOR_PANEL_UNIT,,CABINET_SYSTEMS,,FAUCET,,INTERIOR_DOOR,,WINDOW_PVC,,SIDING,,BOILERS_FURNACES
14,ROOFING,,CHASSIS_CONNECTOR,,FLOOR_PANEL_UNIT,,CABINET_SYSTEMS,,FAUCET,,INTERIOR_DOOR,,WINDOW_PVC,,SIDING,,BOILERS_FURNACES
15,SIP_PANELS,,CHASSIS_FLOOR,,PORTAL_PANEL,,COUNTERTOP,,LIGHTING,,POCKET_DOOR,,WINDOW_WOOD,,,,HEAT_RECOVERY_VENTILATION
16,STAIRCASES,,CHASSIS_FLOOR,,PORTAL_PANEL,,COUNTERTOP,,LIGHTING,,POCKET_DOOR,,WINDOW_WOOD,,,,HEAT_RECOVERY_VENTILATION
17,WINDOWS,,CHASSIS_FOOTING,,SILL_PANEL,,STORAGE_SYSTEMS,,MIRROR,,SECURITY_DOOR,,,,,,HEATED_FLOORS
18,,,CHASSIS_FOOTING,,SILL_PANEL,,STORAGE_SYSTEMS,,MIRROR,,SECURITY_DOOR,,,,,,HEATED_FLOORS
19,,,CHASSIS_FOUNDATION,,SLANTED_ROOF_PANEL,,WALL_CABINET,,SHOWER,,SIMPLE_DOOR_OPENING,,,,,,HEATING
20,,,CHASSIS_FOUNDATION,,SLANTED_ROOF_PANEL,,WALL_CABINET,,SHOWER,,SIMPLE_DOOR_OPENING,,,,,,HEATING
21,,,CHASSIS_ROOF,,WALL_PANEL,,,,SHOWER_ENCLOSURE,,SLIDING_DOOR,,,,,,MECHANICAL_VENTILATION
22,,,CHASSIS_ROOF,,WALL_PANEL,,,,SHOWER_ENCLOSURE,,SLIDING_DOOR,,,,,,MECHANICAL_VENTILATION
23,,,,,WINDOW_PANEL_UNIT,,,,TOILET,,SLIDING_DOOR,,,,,,RADIATORS
24,,,,,WINDOW_PANEL_UNIT,,,,TOILET,,,,,,,,RADIATORS
25,,,,,,,,,VENTILATION_EXTRACTOR,,,,,,,,UNDERFLOOR_HEATING
26,,,,,,,,,VENTILATION_EXTRACTOR,,,,,,,,UNDERFLOOR_HEATING
